customer_id,segment_number,segment_name,created_date
15634602,1,Segment 1,2026-05-16 21:06:50
15647311,0,Segment 0,2026-05-16 21:06:50
15619304,2,Segment 2,2026-05-16 21:06:50
15701354,0,Segment 0,2026-05-16 21:06:50
15737888,1,Segment 1,2026-05-16 21:06:50
15574012,3,Segment 3,2026-05-16 21:06:50
15592531,2,Segment 2,2026-05-16 21:06:50
15656148,2,Segment 2,2026-05-16 21:06:50
15792365,0,Segment 0,2026-05-16 21:06:50
15592389,3,Segment 3,2026-05-16 21:06:50
15767821,0,Segment 0,2026-05-16 21:06:50
15737173,2,Segment 2,2026-05-16 21:06:50
15632264,2,Segment 2,2026-05-16 21:06:50
15691483,0,Segment 0,2026-05-16 21:06:50
15600882,2,Segment 2,2026-05-16 21:06:50
15643966,0,Segment 0,2026-05-16 21:06:50
15737452,3,Segment 3,2026-05-16 21:06:50
15788218,2,Segment 2,2026-05-16 21:06:50
15661507,0,Segment 0,2026-05-16 21:06:50
15568982,2,Segment 2,2026-05-16 21:06:50
15577657,2,Segment 2,2026-05-16 21:06:50
15597945,2,Segment 2,2026-05-16 21:06:50
15699309,1,Segment 1,2026-05-16 21:06:50
15725737,0,Segment 0,2026-05-16 21:06:50
15625047,1,Segment 1,2026-05-16 21:06:50
15738191,0,Segment 0,2026-05-16 21:06:50
15736816,3,Segment 3,2026-05-16 21:06:50
15700772,0,Segment 0,2026-05-16 21:06:50
15728693,1,Segment 1,2026-05-16 21:06:50
15656300,2,Segment 2,2026-05-16 21:06:50
15589475,2,Segment 2,2026-05-16 21:06:50
15706552,0,Segment 0,2026-05-16 21:06:50
15750181,0,Segment 0,2026-05-16 21:06:50
15659428,2,Segment 2,2026-05-16 21:06:50
15732963,2,Segment 2,2026-05-16 21:06:50
15794171,1,Segment 1,2026-05-16 21:06:50
15788448,0,Segment 0,2026-05-16 21:06:50
15729599,0,Segment 0,2026-05-16 21:06:50
15717426,3,Segment 3,2026-05-16 21:06:50
15585768,0,Segment 0,2026-05-16 21:06:50
15619360,3,Segment 3,2026-05-16 21:06:50
15738148,0,Segment 0,2026-05-16 21:06:50
15687946,1,Segment 1,2026-05-16 21:06:50
15755196,0,Segment 0,2026-05-16 21:06:50
15684171,1,Segment 1,2026-05-16 21:06:50
15754849,1,Segment 1,2026-05-16 21:06:50
15602280,1,Segment 1,2026-05-16 21:06:50
15771573,1,Segment 1,2026-05-16 21:06:50
15766205,0,Segment 0,2026-05-16 21:06:50
15771873,1,Segment 1,2026-05-16 21:06:50
15616550,3,Segment 3,2026-05-16 21:06:50
15768193,0,Segment 0,2026-05-16 21:06:50
15683553,0,Segment 0,2026-05-16 21:06:50
15702298,0,Segment 0,2026-05-16 21:06:50
15569590,3,Segment 3,2026-05-16 21:06:50
15760861,3,Segment 3,2026-05-16 21:06:50
15630053,3,Segment 3,2026-05-16 21:06:50
15647091,0,Segment 0,2026-05-16 21:06:50
15623944,1,Segment 1,2026-05-16 21:06:50
15804771,3,Segment 3,2026-05-16 21:06:50
15651280,0,Segment 0,2026-05-16 21:06:50
15773469,0,Segment 0,2026-05-16 21:06:50
15702014,0,Segment 0,2026-05-16 21:06:50
15751208,3,Segment 3,2026-05-16 21:06:50
15592461,3,Segment 3,2026-05-16 21:06:50
15789484,1,Segment 1,2026-05-16 21:06:50
15696061,1,Segment 1,2026-05-16 21:06:50
15641582,3,Segment 3,2026-05-16 21:06:50
15638424,0,Segment 0,2026-05-16 21:06:50
15755648,1,Segment 1,2026-05-16 21:06:50
15703793,2,Segment 2,2026-05-16 21:06:50
15620344,3,Segment 3,2026-05-16 21:06:50
15812518,0,Segment 0,2026-05-16 21:06:50
15779052,1,Segment 1,2026-05-16 21:06:50
15770811,0,Segment 0,2026-05-16 21:06:50
15780961,1,Segment 1,2026-05-16 21:06:50
15614049,2,Segment 2,2026-05-16 21:06:50
15662085,1,Segment 1,2026-05-16 21:06:50
